leg,stage,resolution,low_band_ratio,mid_band_ratio,high_band_ratio,avr_ratio,low_std,mid_std,high_std,n
cnn_cvc,level1,64x64,0.5923661511846888,0.34213742005917075,0.0654964228157318,0.189511756830497,0.07404288371485845,0.05865972520242799,0.01667031070385691,62
cnn_cvc,level2,32x32,0.5888732313403094,0.3351928731181749,0.07593389978804506,0.17660540101133432,0.04970680066385687,0.0473139061079256,0.0180692798454908,62
cnn_cvc,level3,16x16,0.6126424547627857,0.31661993057572896,0.07073761377095987,0.17673253483740456,0.08628638028818328,0.0775462121341886,0.015659928999764122,62
cnn_cvc,level4,8x8,0.36115289926666894,0.5264945095724544,0.11235258610128292,0.3442640203992879,0.16373969194179475,0.13323843932734444,0.042275251301458525,62
cnn_isic,level1,64x64,0.8028753288081006,0.18483404355869,0.012290631055427818,0.04375021226114328,0.08135838227314778,0.07541030464446563,0.007498116816309077,260
cnn_isic,level2,32x32,0.6150997371531028,0.35111863428969237,0.0337816305850376,0.12692630792542708,0.12226365491269031,0.10324155426741569,0.023019620758594827,260
cnn_isic,level3,16x16,0.5136182270150311,0.4356249237901699,0.05075684167710808,0.1620460173508103,0.13811513521592142,0.11609051697864348,0.03197550106050899,260
cnn_isic,level4,8x8,0.6937554579086599,0.2624275318493596,0.04381701178989831,0.1464114819139689,0.11870702104223858,0.1072927056294316,0.029181929125260204,260
ssm_cvc,level1,64x64,0.4938682943190976,0.41526562969979197,0.09086607541384766,0.24200674250993848,0.046110409676920594,0.03315809546228361,0.01889837255477582,62
ssm_cvc,level2,32x32,0.5569071831262912,0.3503889028877071,0.09270392773106065,0.23101749656453366,0.05069227229683001,0.04410461117942005,0.012440051865528724,62
ssm_cvc,level3,16x16,0.5221302432539845,0.37592851920719456,0.10194124718624406,0.2570754349234162,0.0706535649282688,0.058934108938537136,0.02496957760350863,62
ssm_cvc,level4,8x8,0.40506473327840414,0.5015041020355395,0.0934311690048399,0.3026152749547166,0.09267529245636418,0.08478263102323834,0.04414985206492143,62
ssm_isic,level1,64x64,0.4698613804097364,0.3993386242554219,0.13079999448992352,0.2929238485927945,0.13057112524960995,0.0820305203847699,0.054934514520714454,260
ssm_isic,level2,32x32,0.42799638558546454,0.4486828049256187,0.12332080702387559,0.3036996372600249,0.10717189380279495,0.07889666029438276,0.03669852649220466,260
ssm_isic,level3,16x16,0.5313453376065951,0.40550950051677326,0.06314516312973696,0.18812332015894095,0.07647955295454417,0.07100821899191138,0.02189302828889517,260
ssm_isic,level4,8x8,0.725850547847617,0.24916448854677684,0.02498496291502752,0.09831588976181008,0.12663254500950963,0.1166672059941136,0.017014823123058253,260
vit_cvc,level1,128x128,0.912357338820396,0.07509334437220917,0.012549330796744293,0.03386477505339257,0.04666312647849464,0.03777994619412478,0.0094507945345525,62
vit_cvc,level2,64x64,0.8955354731889154,0.08685307356829705,0.01761145606368355,0.04409675300739198,0.03397971701312291,0.02955208388185887,0.005632811978576418,62
vit_cvc,level3,32x32,0.8447892004876636,0.11880476562349894,0.03640602412272944,0.07242576535082226,0.03859349257714447,0.030636848307530426,0.011684269180237223,62
vit_cvc,level4,16x16,0.6143953494701937,0.2789600578502832,0.10664459074671867,0.211391104602517,0.1268262857971277,0.08192422839247528,0.05255399290973102,62
vit_isic,level1,128x128,0.7712041802965456,0.17534382560517048,0.053451994975743565,0.12856381932489033,0.14208700822104764,0.10485439657805583,0.03900327636211213,260
vit_isic,level2,64x64,0.9242265255850268,0.05778003735509082,0.017993440388634003,0.03892953163536289,0.07462186788995917,0.054424031980555114,0.020998021629977645,260
vit_isic,level3,32x32,0.5853357357371956,0.3121348464428389,0.10252941502777858,0.21860967281278956,0.14187264353697449,0.10175204500691815,0.04809732722081666,260
vit_isic,level4,16x16,0.4853543239268401,0.4212725446843307,0.0933731342639702,0.2246815457206848,0.14094540717222515,0.1175036024284338,0.040614605680948525,260
