Metric,Baseline,LowPass,Delta,DeltaPct
dice,0.952515,0.912782,-3.97e-02,-4.17
iou,0.909334,0.839557,-6.98e-02,-7.67
accuracy,0.970704,0.944960,-2.57e-02,-2.65
sensitivity,0.958955,0.939979,-1.90e-02,-1.98
specificity,0.975894,0.947161,-2.87e-02,-2.94
