Metric,Baseline,LowPass,Delta,DeltaPct
dice,0.940784,0.874211,-6.66e-02,-7.08
iou,0.888188,0.776533,-1.12e-01,-12.57
accuracy,0.964455,0.918080,-4.64e-02,-4.81
sensitivity,0.921534,0.929067,7.53e-03,0.82
specificity,0.983415,0.913227,-7.02e-02,-7.14
