baseline_dice,tta_dice,baseline_bf1,tta_bf1,baseline_hd95,tta_hd95,dice_delta,bf1_delta
0.9399053,0.954107,0.7810292633505174,0.8828127824599883,8.94427190999916,3.605551275463989,0.014201701,0.10178351910947092
0.9462873,0.9386367,0.8470365101715122,0.8076425124336191,121.23530838827442,5.830951894845301,-0.007650554,-0.039393997737893094
0.9805106,0.9808719,0.9143131590109715,0.9035607189314455,4.123105625617661,4.123105625617661,0.00036132336,-0.010752440079526027
0.969302,0.94639915,0.9210153157385734,0.730262500352308,4.123105625617661,6.708203932499369,-0.022902846,-0.19075281538626543
0.95828635,0.9577742,0.727216653803094,0.7479110020802896,4.123105625617661,5.0,-0.0005121231,0.02069434827719563
0.9520238,0.94984823,0.6902468738211811,0.7519841269766668,13.0,27.16615541441225,-0.0021755695,0.06173725315548573
0.93469447,0.94234484,0.5416986228202306,0.5884471776762206,6.0,6.0,0.0076503754,0.04674855485598994
0.9311861,0.93252784,0.7739141706922656,0.7544718945037102,68.59300255857006,66.52818951391959,0.0013417602,-0.01944227618855543
0.9053831,0.8716539,0.7676608453853488,0.7127703028771823,8.06225774829855,33.734255586866,-0.033729196,-0.054890542508166495
0.95692927,0.958295,0.6484739233252176,0.6524038928684646,10.295630140987,10.295630140987,0.0013657212,0.0039299695432469806
0.9528832,0.9247052,0.7919104856799408,0.7639435037194324,9.848857801796104,25.0,-0.028177977,-0.027966981960508397
0.974334,0.9755076,0.8882387360872187,0.9196092221183378,5.830951894845301,4.123105625617661,0.0011736155,0.03137048603111914
0.9230623,0.9217922,0.6924837848100573,0.6807843780345245,33.301651610693426,33.24154027718932,-0.0012701154,-0.011699406775532828
0.9780922,0.97577715,0.9255275543190294,0.9052877397674176,4.0,5.0,-0.0023150444,-0.020239814551611834
0.931958,0.932693,0.5380823760567746,0.5478912775510414,42.42640687119285,41.773197148410844,0.0007349849,0.00980890149426683
0.9316511,0.95361227,0.5116249020135584,0.5862124857339849,25.96150997149434,18.681541692269406,0.021961153,0.07458758372042651
0.8423669,0.9399171,0.4885554815841106,0.7041696267417457,37.21558813185679,7.280109889280518,0.09755021,0.21561414515763505
0.91389054,0.9036838,0.7116755403240096,0.6870689762537502,17.88854381999832,17.69180601295413,-0.010206759,-0.024606564070259407
0.9793197,0.9798597,0.8471167658457307,0.8668871564070229,6.324555320336759,5.830951894845301,0.0005400181,0.01977039056129215
0.96594274,0.9694992,0.7828676633789157,0.8073723681324603,4.123105625617661,4.123105625617661,0.0035564303,0.024504704753544604
