baseline_dice,tta_dice,baseline_bf1,tta_bf1,baseline_hd95,tta_hd95,dice_delta,bf1_delta
0.77510023,0.77597696,0.645843894874213,0.6429680569637412,9.486832980505138,9.486832980505138,0.0008767247,-0.0028758379104718568
0.9784751,0.98027056,0.9866500829876047,0.9869972155340194,4.47213595499958,4.123105625617661,0.0017954707,0.000347132546414719
0.0,0.0,0.0,0.0,,,0.0,0.0
0.9588741,0.961539,0.9824175138567999,0.9832079355218046,7.0,7.0,0.002664864,0.0007904216650047591
0.38055506,0.39444444,0.35919828144076144,0.3525637519078802,33.03028912982749,30.347981810987037,0.013889372,-0.006634529532881239
0.9664069,0.969079,0.9916604120139694,0.9933931908744523,2.23606797749979,2.0,0.0026721358,0.001732778860482953
0.95287687,0.953809,0.9958880687423629,0.9965748793752154,1.7320508075688772,2.0,0.00093215704,0.0006868106328524748
0.92234725,0.9288789,0.981634496286,0.9806811760587943,3.1622776601683795,3.3166247903554,0.006531656,-0.0009533202272056229
0.95157,0.9579243,0.9586046184437461,0.9654760927837454,4.123105625617661,3.4641016151377544,0.006354332,0.0068714743399992395
0.965169,0.9653585,0.9964772610185886,0.9960352361141256,3.0,3.1622776601683795,0.00018948317,-0.0004420249044629898
0.9762169,0.98015946,0.9938845703534216,0.9944135489511426,1.7320508075688772,2.0,0.003942549,0.0005289785977210526
0.4770477,0.48160535,0.6332925880520136,0.6641680984339241,83.66600265340756,6.782329983125268,0.0045576394,0.030875510381910498
0.9179706,0.9192749,0.969927111796384,0.9721097016613236,40.8656334834051,40.66939881532551,0.0013043284,0.002182589864939577
0.9764273,0.97922546,0.9942844613936352,0.9959331477172398,5.477225575051661,5.477225575051661,0.00279814,0.0016486863236045979
0.9619819,0.96501124,0.978830372503043,0.9792027257530211,5.0,5.0,0.0030293465,0.00037235324997819674
0.94723314,0.9477359,0.988872915409786,0.9858741302495126,5.830951894845301,6.082762530298219,0.0005027652,-0.0029987851602732984
0.9171096,0.91885835,0.8621624457151386,0.8629506229733395,20.024984394500787,7.0,0.0017487407,0.0007881772582009061
0.96842104,0.9673121,0.9901074262570292,0.9882505921083174,1.7320508075688772,2.0,-0.0011089444,-0.001856834148711739
0.86847216,0.8809857,0.9015208120628477,0.9227340129457027,4.69041575982343,4.123105625617661,0.012513518,0.021213200882854943
0.9796604,0.9839693,0.9999999999944565,0.9999999999944412,1.0,1.0,0.0043088794,-1.532107773982716e-14
0.80051297,0.8042196,0.8844996892595205,0.8899251308879894,13.038404810405298,10.295630140987,0.003706634,0.005425441628468919
0.88780755,0.88860154,0.805420175225037,0.8112986375555259,24.758836806279895,23.108440016582687,0.0007939935,0.005878462330488943
0.85424536,0.8552624,0.8374704743179749,0.835993452748334,5.0990195135927845,5.0,0.001017034,-0.0014770215696409128
0.76081973,0.76786417,0.7566731364115535,0.7659599196987662,17.4928556845359,18.708286933869708,0.0070444345,0.009286783287212663
0.97091365,0.9779532,0.9951396917921443,0.9994100294961489,1.7320508075688772,1.4142135623730951,0.007039547,0.004270337704004534
0.9668409,0.97006744,0.9846202013240097,0.9843171490026407,4.0,5.830951894845301,0.0032265186,-0.00030305232136906834
0.98119104,0.98148394,0.9972463150521169,0.9977975000102689,1.4142135623730951,1.4142135623730951,0.00029289722,0.0005511849581519845
0.9652139,0.9693702,0.9858023916279595,0.9880583818421039,3.7416573867739413,3.3166247903554,0.0041562915,0.0022559902141444654
0.8742404,0.87937844,0.9563310265179611,0.9573708954150352,7.874007874011811,8.06225774829855,0.0051380396,0.001039868897074081
0.86605686,0.8654345,0.9438543536263035,0.943171613822104,8.06225774829855,8.06225774829855,-0.0006223321,-0.0006827398041995281
0.91991985,0.91460526,0.9387020216717268,0.9223709160102812,29.34280150224242,29.34280150224242,-0.0053145885,-0.016331105661445577
0.36642563,0.39509568,0.3920840318364374,0.41567213412011944,40.80441152620633,36.90528417449187,0.028670043,0.023588102283682022
0.28473836,0.27857238,0.15212834479352458,0.14684482074258423,19.949937343260004,16.73320053068151,-0.0061659813,-0.005283524050940347
0.85033536,0.84782034,0.9501284605220743,0.9469912716219814,8.0,8.06225774829855,-0.002515018,-0.0031371889000929576
0.97036237,0.9719401,0.993879954436373,0.9929602102990535,5.0990195135927845,5.656854249492381,0.001577735,-0.0009197441373195447
0.88946575,0.8912826,0.9433010216347746,0.944346382520776,6.0,5.385164807134504,0.0018168688,0.0010453608860013786
0.91563505,0.9150477,0.9827924219661633,0.9834543379323033,3.1622776601683795,2.8284271247461903,-0.00058734417,0.0006619159661399587
0.9331653,0.93410814,0.9376761018481578,0.9387687737219385,10.723805294763608,10.723805294763608,0.0009428263,0.001092671873780704
