base_dice,base_bf1,base_hd95,tta2_dice,tta2_bf1,tta2_hd95,tta4_dice,tta4_bf1,tta4_hd95,tta8_dice,tta8_bf1,tta8_hd95
0.77510023,0.645843894874213,9.486832980505138,0.7718506,0.6414928389414023,9.486832980505138,0.7735066,0.6410564017454998,9.486832980505138,0.77597696,0.6429680569637412,9.486832980505138
0.9784751,0.9866500829876047,4.47213595499958,0.9791834,0.9865871638694222,4.358898943540674,0.97985953,0.9871949005627366,4.358898943540674,0.98027056,0.9869972155340194,4.123105625617661
0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
0.9588741,0.9824175138567999,7.0,0.959597,0.9834057487580488,7.0,0.96087486,0.9831021772617382,7.0,0.961539,0.9832079355218046,7.0
0.38055506,0.35919828144076144,33.03028912982749,0.39712632,0.3813856155753085,33.0,0.39549002,0.3689671275686855,32.4037034920393,0.39444444,0.3525637519078802,30.347981810987037
0.9664069,0.9916604120139694,2.23606797749979,0.9659837,0.9897451246508697,2.23606797749979,0.9672529,0.9916508589082602,2.23606797749979,0.969079,0.9933931908744523,2.0
0.95287687,0.9958880687423629,1.7320508075688772,0.9551968,0.9970038433971176,1.4142135623730951,0.9538779,0.9956311609081838,2.0,0.953809,0.9965748793752154,2.0
0.92234725,0.981634496286,3.1622776601683795,0.92459506,0.9802051949876605,3.1622776601683795,0.92672455,0.9801988513478292,3.1622776601683795,0.9288789,0.9806811760587943,3.3166247903554
0.95157,0.9586046184437461,4.123105625617661,0.9552624,0.9627377465263497,3.605551275463989,0.95591015,0.9628926951910627,3.4641016151377544,0.9579243,0.9654760927837454,3.4641016151377544
0.965169,0.9964772610185886,3.0,0.9673796,0.996809634125421,2.23606797749979,0.9665277,0.9971407654670094,3.1622776601683795,0.9653585,0.9960352361141256,3.1622776601683795
0.9762169,0.9938845703534216,1.7320508075688772,0.9785269,0.9938854867370248,1.7320508075688772,0.9794878,0.9938732515340102,1.7320508075688772,0.98015946,0.9944135489511426,2.0
0.4770477,0.6332925880520136,83.66600265340756,0.509061,0.6756428816363902,83.74365647617735,0.48157668,0.6459047025718901,6.782329983125268,0.48160535,0.6641680984339241,6.782329983125268
0.9179706,0.969927111796384,40.8656334834051,0.9208077,0.9717505065028034,41.41255848169731,0.91980606,0.9716975417963646,40.66939881532551,0.9192749,0.9721097016613236,40.66939881532551
0.9764273,0.9942844613936352,5.477225575051661,0.9780587,0.995482835997847,5.477225575051661,0.9788351,0.9957721648091116,5.477225575051661,0.97922546,0.9959331477172398,5.477225575051661
0.9619819,0.978830372503043,5.0,0.96284103,0.9782016474680968,5.0,0.9640723,0.9788451338359152,5.0,0.96501124,0.9792027257530211,5.0
0.94723314,0.988872915409786,5.830951894845301,0.9483533,0.9893231245944402,5.916079783099616,0.94860476,0.9886900161426981,6.082762530298219,0.9477359,0.9858741302495126,6.082762530298219
0.9171096,0.8621624457151386,20.024984394500787,0.9167532,0.860475836844882,7.0,0.9177631,0.861145016013128,7.0,0.91885835,0.8629506229733395,7.0
0.96842104,0.9901074262570292,1.7320508075688772,0.9684736,0.9907080388732986,1.7320508075688772,0.9684123,0.9900920899197071,1.7320508075688772,0.9673121,0.9882505921083174,2.0
0.86847216,0.9015208120628477,4.69041575982343,0.8763548,0.9142285228697922,4.58257569495584,0.8786146,0.9181417441093955,4.58257569495584,0.8809857,0.9227340129457027,4.123105625617661
0.9796604,0.9999999999944565,1.0,0.9832224,0.9999999999944398,1.0,0.98276186,0.9999999999944459,1.0,0.9839693,0.9999999999944412,1.0
0.80051297,0.8844996892595205,13.038404810405298,0.80534184,0.8914055822826507,12.165525060596439,0.8046249,0.8888016736695264,12.165525060596439,0.8042196,0.8899251308879894,10.295630140987
0.88780755,0.805420175225037,24.758836806279895,0.8891531,0.8058878207003777,24.758836806279895,0.8864915,0.8035502761365733,24.454038521274967,0.88860154,0.8112986375555259,23.108440016582687
0.85424536,0.8374704743179749,5.0990195135927845,0.8524731,0.8369106785543828,5.656854249492381,0.8543326,0.8366015741423937,5.0990195135927845,0.8552624,0.835993452748334,5.0
0.76081973,0.7566731364115535,17.4928556845359,0.76235694,0.7655198934605474,17.74823934929885,0.7666229,0.7634589171679137,17.4928556845359,0.76786417,0.7659599196987662,18.708286933869708
0.97091365,0.9951396917921443,1.7320508075688772,0.9742029,0.9985815381881686,1.4142135623730951,0.9767572,0.9982268615890815,1.4142135623730951,0.9779532,0.9994100294961489,1.4142135623730951
0.9668409,0.9846202013240097,4.0,0.96790993,0.9840373566783277,4.47213595499958,0.96966076,0.984736277458659,5.744562646538029,0.97006744,0.9843171490026407,5.830951894845301
0.98119104,0.9972463150521169,1.4142135623730951,0.9813838,0.9974337627156313,5.477225575051661,0.98130995,0.9970655862154757,5.477225575051661,0.98148394,0.9977975000102689,1.4142135623730951
0.9652139,0.9858023916279595,3.7416573867739413,0.96776134,0.9866359998993427,3.605551275463989,0.96820587,0.987451733818901,3.605551275463989,0.9693702,0.9880583818421039,3.3166247903554
