base_dice,base_bf1,base_hd95,tta2_dice,tta2_bf1,tta2_hd95,tta4_dice,tta4_bf1,tta4_hd95,tta8_dice,tta8_bf1,tta8_hd95
0.43158445,0.13801438297723154,131.18307817702708,0.5404173,0.23118660060795293,100.26464980241042,0.5194142,0.15736693236982008,107.89810007595129,0.46386397,0.16549975191222607,116.21101496846157
0.85858405,0.6603067404800449,14.866068747318506,0.8700367,0.6433566433388762,13.038404810405298,0.86324024,0.6354451798955344,14.317821063276353,0.84068537,0.6036163048363273,16.1245154965971
0.9373728,0.5948784464543837,45.5411901469428,0.9549948,0.6480351341108325,9.055385138137417,0.9566772,0.6606415458161258,7.615773105863909,0.9594588,0.6768964526186566,6.082762530298219
0.8286958,0.37109522830697395,40.792156108742276,0.88034105,0.49463421401504787,18.788294228055936,0.9207582,0.6804722577342174,15.264337522473747,0.91046727,0.554250287603015,17.4928556845359
0.76963574,0.18582664961519657,33.24154027718932,0.70931697,0.1722723543860433,32.526911934581186,0.66677386,0.20683126922399903,36.05551275463989,0.6740787,0.18210023659187516,33.24154027718932
0.92621404,0.4645368530465535,28.160255680657446,0.92192245,0.4475749816719546,29.017236257093817,0.9225476,0.45278497457598454,28.0178514522438,0.9217282,0.47211056590275785,28.0
0.53617173,0.11270619883973586,129.07362240210043,0.56766355,0.10894705984549966,112.17842929904127,0.53363764,0.16217434364415176,30.23243291566195,0.5413941,0.15005154308745655,29.206163733020468
0.7243393,0.29013549247872295,82.365041127896,0.7958646,0.3279193380799552,79.40403012442127,0.78857315,0.3652954615261619,78.2368199762746,0.7913581,0.3719382113426959,77.6659513557904
0.5236878,0.2603999228401142,146.2942240828393,0.5188902,0.2222973734605757,146.2942240828393,0.56404495,0.24970273483512917,153.05554547287727,0.59798396,0.2785985128229269,152.73833834371774
0.7473871,0.32853562163879046,68.35202996254024,0.78382295,0.44286640010289197,65.7875368135941,0.77006793,0.38491376082361706,66.48308055437865,0.7960973,0.3788863712307987,61.39218191268331
0.7511784,0.4108414474574117,28.178005607210743,0.78332126,0.4825446082160471,26.419689627245813,0.8040082,0.47652319730958803,27.294688127912362,0.7791788,0.4850653152430605,26.419689627245813
0.9471582,0.6615731897785391,8.246211251235321,0.9557334,0.7266215202991695,84.21995013059554,0.96200067,0.7880237395683676,5.0,0.9610711,0.778453145457764,5.0
0.82174957,0.35558780627962794,43.60045871318328,0.85297966,0.36029028485394676,39.824615503479755,0.8465677,0.36033383870110913,40.70626487409524,0.80723065,0.2539170834601726,39.6232255123179
0.8570419,0.3161512027447469,82.37718130647589,0.8851002,0.3743983276891405,21.95449840010015,0.9207193,0.4616144649664686,15.297058540778355,0.93274176,0.5177698245821096,9.0
0.767638,0.30340817785820645,71.11961754677819,0.7867787,0.30392083997192815,68.15423684555495,0.7812802,0.32964768593999144,65.55150646628954,0.800853,0.36405987638544896,64.5600495662759
0.7923381,0.31561491840521727,63.25345840347388,0.8256556,0.33807923126809886,54.378304497290095,0.7982098,0.33299127816976215,56.61271941887264,0.805746,0.3298060315667486,54.70831746635972
0.70017135,0.17347440739426628,130.0,0.786551,0.290183057358633,65.43699259593154,0.77066666,0.366088631977532,64.62197768561404,0.73746246,0.3637609179579915,60.92618484691127
0.9137948,0.5718154745749259,235.84104816592043,0.89667445,0.5865535356097974,19.849433241279208,0.9100089,0.5958483458772742,11.180339887498949,0.9154288,0.5949446856061177,10.295630140987
0.93494,0.4198122515681656,26.832815729997478,0.94474316,0.573120950506891,35.22782990761707,0.9426547,0.584810355663863,41.340053217188775,0.943494,0.6168597153165416,38.600518131237564
0.93144816,0.4438790333657061,90.95603333479313,0.92700684,0.46385411928890075,84.11896337925236,0.9398408,0.5342107374919717,7.211102550927978,0.93096745,0.4293794125605993,8.0
