Metric,Baseline,LowPass,Delta,DeltaPct
dice,0.895702,0.291890,-6.04e-01,-67.41
iou,0.811105,0.170885,-6.40e-01,-78.93
accuracy,0.981797,0.869152,-1.13e-01,-11.47
sensitivity,0.930763,0.321141,-6.10e-01,-65.50
specificity,0.986476,0.919391,-6.71e-02,-6.80
