Metric,Baseline,LowPass,Delta,DeltaPct
dice,0.945855,0.917581,-2.83e-02,-2.99
iou,0.897271,0.847714,-4.96e-02,-5.52
accuracy,0.967178,0.947621,-1.96e-02,-2.02
sensitivity,0.935646,0.951620,1.60e-02,1.71
specificity,0.981107,0.945854,-3.53e-02,-3.59
