model,pearson_r,p_value,ci_95_lo,ci_95_hi,n
UNet,-0.18955817240153208,1.376991450219988e-05,-0.2712040655866788,-0.10520391976695664,519
Swin,-0.32219052551915106,5.318120811760494e-14,-0.39724515248577946,-0.2428544652184911,519
Mamba,-0.3351241710950131,4.356906755795997e-15,-0.40938637567702313,-0.2564506311560473,519
Pooled,-0.29776681211317696,3.01275414763296e-33,-0.34238105792530477,-0.251812812033093,1557
