cutoff,model,mean_avr,pearson_r,p_value
0.25,UNet,0.5681138085122799,-0.1613888162613822,0.0002224483981279539
0.25,Swin,0.6526113654244913,-0.06909188497301876,0.11592605826807496
0.25,Mamba,0.4757515849098755,0.17090591715597872,9.117820951805255e-05
0.375,UNet,0.45461711507891645,-0.19403268440490337,8.503786477641335e-06
0.375,Swin,0.3803435696428376,0.016140145185587464,0.7137419550727097
0.375,Mamba,0.38915994721840014,0.15776935254861385,0.0003083413441143919
0.5,UNet,0.2861931024621256,-0.18802080591584144,1.6208192439303077e-05
0.5,Swin,0.3044137751394025,0.018831759526400677,0.668636116196878
0.5,Mamba,0.268396075084326,0.09982841715067918,0.02293901811361598
0.625,UNet,0.20355285357151343,-0.2014194065041255,3.7446952339469306e-06
0.625,Swin,0.20149613619979764,-0.06910158398480082,0.11587477169446041
0.625,Mamba,0.2024114153824443,0.11125017725916492,0.011205626503255704
0.75,UNet,0.10492056340580126,-0.17276425575311716,7.617132735961302e-05
0.75,Swin,0.1390761910392906,-0.05015130679270543,0.254082821202239
0.75,Mamba,0.11912212868013662,0.04149985598401079,0.34539511102592935
