model,pearson_r,p_value
UNet,-0.22911016581480548,0.10949939417950048
Swin,-0.005245962442277624,0.9711575302039711
Mamba,0.2976842767333844,0.03576720333230418
Pooled,0.09586461141929596,0.24322456325457617
Partial,0.045353088682477796,0.5815674224964028
