model,pearson_r,p_value,ci_95_lo,ci_95_hi,n
UNet,-0.22911016581480548,0.10949939417950048,-0.4770361947178502,0.052591430904671936,50
Swin,-0.005245962442277624,0.9711575302039711,-0.28318018287007096,0.273501124971019,50
Mamba,0.2976842767333844,0.03576720333230418,0.021083532111189456,0.5319543945745644,50
Pooled,0.09586461141929596,0.24322456325457617,-0.0654017092708468,0.25225070808364464,150
Partial,0.045353088682477796,0.5815674224964028,-0.11574974909370753,0.20413092011148853,150
