cutoff,dice_all,iou_all,acc_all,sens_all,spec_all,avr_before_all,avr_after_all,delta_avr_all,dice_single,iou_single,acc_single,sens_single,spec_single,avr_before_single,avr_after_single,delta_avr_single
0.1,0.4530329919674531,0.2928523941461599,0.64747802734375,0.4764737227404246,0.7230190140333818,0.1137916204938665,0.10667329136127025,-0.007118329132596246,0.8628535668937007,0.758788439002246,0.9194082641601562,0.8274221741923596,0.9600430307176846,0.10677484795451164,6.012695097468526e-15,-0.10677484795450563
0.2,0.7617986654105502,0.6152461995715257,0.8236849975585937,0.9201727083032455,0.781061644362998,0.1202621027858307,0.11314377566489123,-0.007118327120939474,0.9019633988833294,0.8214329084896256,0.9421121215820313,0.8691052335396736,0.9743628439872491,0.10677484795451164,6.5756505583891525e-15,-0.10677484795450506
0.3,0.9009718495427215,0.8197896015382765,0.9373345947265626,0.9303887928844976,0.9404028959936994,0.12446959155922134,0.11735125941845326,-0.007118332140768083,0.9181957943181894,0.8487633801899427,0.9518203735351562,0.8824846489808318,0.9824493630089823,0.10677484795451164,6.945093761564656e-15,-0.1067748479545047
0.4,0.9192623978325718,0.8505879650980807,0.9507632446289063,0.9148231333509296,0.9666397541353268,0.12831697560225924,0.12119864481190888,-0.007118330790350361,0.9274252691937612,0.8646719361891262,0.9570254516601563,0.8961668517587064,0.9839096794915512,0.10677484795451164,7.158569823546911e-15,-0.10677484795450448
0.5,0.9321519303568586,0.8729256125998989,0.958890380859375,0.9216727008331632,0.9753312551285972,0.13102521728103358,0.12390688536688733,-0.00711833191414625,0.9310600330104987,0.8710124625919644,0.9591976928710938,0.8992395456197927,0.985684146612431,0.10677484795451164,7.270497392471805e-15,-0.10677484795450437
0.6,0.9360156329809777,0.8797268662916766,0.96138916015625,0.9217274814368455,0.978909668491879,0.13517348260929188,0.128891988551865,-0.006281494057426867,0.9330715221733755,0.8745398980014847,0.96028564453125,0.9035154207399365,0.9853638361576825,0.10677484795451164,0.012552593555301427,-0.09422225439921021
0.7,0.9383584382774655,0.8838750027410007,0.9628289794921875,0.9233868357229297,0.9802525084752475,0.1391279095162948,0.13404941013703744,-0.005078499379257362,0.9341573286755213,0.8764495490827764,0.9609213256835938,0.904766410525844,0.9857277053143816,0.10677484795451164,0.030597526393830777,-0.07617732156068087
0.8,0.9395500317057704,0.8859918523238481,0.9636346435546875,0.922349988296871,0.9818721002114137,0.14341049251457055,0.1396162521466613,-0.003794240367909263,0.9356844728395188,0.8791419921645408,0.96172119140625,0.9087743586934328,0.9851104037099695,0.10677484795451164,0.04986140038818121,-0.05691344756633043
