stage,path,dice,delta_dice,iou,delta_iou,delta_avr
encoder.block4,encoder.layer4[-1],0.6793990268940812,-0.2491931753144333,0.5144620068666191,-0.352240852793951,0.5425078868865917
encoder.block2,encoder.layer2[-1],0.7127460903152453,-0.2158461118932692,0.5536950285820418,-0.31300783107852836,0.2634339630603704
encoder.block1,encoder.layer1[-1],0.7694385704546365,-0.15915363175387798,0.6252744088841701,-0.24142845077640007,0.10876230895518241
encoder.block3,encoder.layer3[-1],0.792271898443584,-0.13632030376493043,0.6560018744472139,-0.21070098521335623,0.3340586125850608
bridge,decoder.blocks[0],0.8868013250383776,-0.04179087717013685,0.7966244884983807,-0.0700783711621894,0.17702504992484333
decoder.block1,decoder.blocks[1],0.9197412780008373,-0.008850924207677191,0.8514083332729158,-0.015294526387654384,0.04081797227262462
decoder.block2,decoder.blocks[2],0.9263190203744144,-0.00227318183410008,0.8627507033769386,-0.003952156283631547,0.012251698411989366
decoder.block4,decoder.blocks[4],0.9287848989703025,0.00019269676178801376,0.8670386536537013,0.00033579399313110603,0.004598826635613153
decoder.block3,decoder.blocks[3],0.928624015356574,3.181314805955626e-05,0.8667582890292593,5.542936868918602e-05,0.0034463217016151497
