Region,ErrorRate,Ratio
Boundary 5px,40.68471747580001,16.388745721726586
Boundary 10px,33.97582858061639,16.388745721726586
Boundary 20px,22.47843069281713,16.388745721726586
Interior,1.371577234194926,1.0
Background,1.161126829664206,16.388745721726586
