Metric,Value
cutoff,0.01
dice,0.06036771073680464
iou,0.031123275824479296
accuracy,0.6745132446289063
sensitivity,0.03412433205013919
specificity,0.9574044293480054
pred_mean,0.04002286493778229
pred_std,0.19587334990501404
