stage,path,dice,delta_dice,iou,delta_iou
encoder.block2,encoder.layer2[-1],0.9304579740401421,-0.015396631698964658,0.869959245598699,-0.027312241701481388
encoder.block1,encoder.layer1[-1],0.9373910355547724,-0.008463570184334301,0.882159916695386,-0.0151115706047944
encoder.block3,encoder.layer3[-1],0.9428271271861705,-0.00302747855293628,0.8918381765478808,-0.0054333107522995805
decoder.block1,decoder.blocks[1],0.9430627950899463,-0.0027918106491604533,0.8922600043871118,-0.005011482913068521
decoder.block3,decoder.blocks[3],0.9443770148969772,-0.0014775908421295059,0.8946158128650556,-0.002655674435124711
bridge,decoder.blocks[0],0.9446044297096671,-0.0012501760294396647,0.8950240614045899,-0.0022474258955904602
decoder.block2,decoder.blocks[2],0.9446324586139269,-0.0012221471251798732,0.8950743902671938,-0.002197097032986539
encoder.block4,encoder.layer4[-1],0.9458147529496203,-3.9852789486483076e-05,0.8971997621822341,-7.172511794628633e-05
decoder.block4,decoder.blocks[4],0.9458800933188528,2.5487579746075184e-05,0.8973173614536102,4.5874153429825704e-05
